name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
申抖17捉龙师兄,0,0,0,0%,0%,0%,0%,0%,0%,123
申抖18捉羊师兄,0,0,0,0%,0%,0%,0%,0%,0%,124
冠汉财经A财神,0,0,0,0%,0%,0%,0%,0%,0%,125
冠汉黑马财经V,0,0,0,0%,0%,0%,0%,0%,0%,126
冠汉财经作手小师妹,0,0,0,0%,0%,0%,0%,0%,0%,127
M-牛牛日志,0,0,0,0%,0%,0%,0%,0%,0%,128
M-捕牛达人,0,0,0,0%,0%,0%,0%,0%,0%,129
M-黑马来评,0,0,0,0%,0%,0%,0%,0%,0%,130
M-黑马日志,0,0,0,0%,0%,0%,0%,0%,0%,131
M-寻牛找马,0,0,0,0%,0%,0%,0%,0%,0%,132
M-倍量之王,0,0,0,0%,0%,0%,0%,0%,0%,133
M-淘金敢死队,0,0,0,0%,0%,0%,0%,0%,0%,134
M-新高小魔王,0,0,0,0%,0%,0%,0%,0%,0%,135
M-神牛来评,0,0,0,0%,0%,0%,0%,0%,0%,136
有点快手,0,0,0,0%,0%,0%,0%,0%,0%,137
M-神牛捕手,0,0,0,0%,0%,0%,0%,0%,0%,138
冠汉财经大师兄V,0,0,0,0%,0%,0%,0%,0%,0%,139
ZSL-实战妖哥,0,0,0,0%,0%,0%,0%,0%,0%,140
重庆有术短线股三疯,0,0,0,0%,0%,0%,0%,0%,0%,141
ZX1-小胖擒牛（老）,0,0,0,0%,0%,0%,0%,0%,0%,142
JQ2-财神赵哥,0,0,0,0%,0%,0%,0%,0%,0%,143
ZX2直播胡嘉斌-财经胡一叨（弃）,0,0,0,0%,0%,0%,0%,0%,0%,144
JQ1-财经三哥,0,0,0,0%,0%,0%,0%,0%,0%,145
JQ1-实战派妖哥,0,0,0,0%,0%,0%,0%,0%,0%,146
重庆有术擒牛绝世南风,0,0,0,0%,0%,0%,0%,0%,0%,147
深圳-逍遥财经,0,0,0,0%,0%,0%,0%,0%,0%,148
兰君子-程程论市,0,0,0,0%,0%,0%,0%,0%,0%,149
兰君子-陈佬论市,0,0,0,0%,0%,0%,0%,0%,0%,150
重庆有术-华尔街女团,0,0,0,0%,0%,0%,0%,0%,0%,151
百度指标10,7,10,3,6.6%,10.64%,3.8%,1.89%,7.45%,3.8%,152
前端直播,0,0,0,0%,0%,0%,0%,0%,0%,153
重庆有术-短线K姐,0,0,0,0%,0%,0%,0%,0%,0%,154
重庆有术-炒股奔小康,0,0,0,0%,0%,0%,0%,0%,0%,155
重庆有术-大A神话,0,0,0,0%,0%,0%,0%,0%,0%,156
兰君子-短线抓板,0,0,0,0%,0%,0%,0%,0%,0%,157
JQ09-财经美名扬,360,23,136,4.24%,2.81%,6.64%,2.46%,2.44%,2.54%,158
JQ2-波段明哥,0,0,0,0%,0%,0%,0%,0%,0%,159
M-火车头捕手,0,0,0,0%,0%,0%,0%,0%,0%,160
M-寻龙圣手,0,0,0,0%,0%,0%,0%,0%,0%,161
M-黑猫探金,0,0,0,0%,0%,0%,0%,0%,0%,162
M-超短急先锋,0,0,0,0%,0%,0%,0%,0%,0%,163
申抖16稳健老韭,0,0,0,0%,0%,0%,0%,0%,0%,164
ZSY-小胖擒牛,0,0,0,0%,0%,0%,0%,0%,0%,165
ZSY-财经周老三,0,0,0,0%,0%,0%,0%,0%,0%,166
M-谷掌柜论市,0,0,0,0%,0%,0%,0%,0%,0%,167
ZSL-缠论说股,0,0,0,0%,0%,0%,0%,0%,0%,168
ZSL-博弈圣手,0,0,0,0%,0%,0%,0%,0%,0%,169
ZSL-股市预言家,0,0,0,0%,0%,0%,0%,0%,0%,170
ZSL-赵哥实盘,0,0,0,0%,0%,0%,0%,0%,0%,171
M-妙手捉牛,0,0,0,0%,0%,0%,0%,0%,0%,174
申抖音2开口,27,83,153,5.38%,5.65%,6.57%,1.99%,3.13%,3.82%,175
申抖音4开口,0,0,0,0%,0%,0%,0%,0%,0%,176
ZSL-A股小白龙,0,0,0,0%,0%,0%,0%,0%,0%,177
ZSL-畅谈股金,0,0,0,0%,0%,0%,0%,0%,0%,178
M-A股一点红,0,0,0,0%,0%,0%,0%,0%,0%,179
M-星耀炒家,0,0,0,0%,0%,0%,0%,0%,0%,180
兰君子-超短作手,0,0,0,0%,0%,0%,0%,0%,0%,181
兰君子-底部擒牛,0,0,0,0%,0%,0%,0%,0%,0%,182
兰君子-A股教父,0,0,0,0%,0%,0%,0%,0%,0%,183
冠汉主力先锋YL,0,0,0,0%,0%,0%,0%,0%,0%,184
M-龙头潜伏家,0,0,0,0%,0%,0%,0%,0%,0%,185
JQ1-小胖说顶底,0,0,0,0%,0%,0%,0%,0%,0%,186
兰君子-股今杂谈LV,0,0,0,0%,0%,0%,0%,0%,0%,187
兰君子-金股训练营LV,0,0,0,0%,0%,0%,0%,0%,0%,188
冠汉黑马作手,0,0,0,0%,0%,0%,0%,0%,0%,189
冠汉财经小书生V,0,0,0,0%,0%,0%,0%,0%,0%,190
数伯客10,0,0,0,0%,0%,0%,0%,0%,0%,191
数伯客11,0,0,0,0%,0%,0%,0%,0%,0%,192
数伯客12,0,0,0,0%,0%,0%,0%,0%,0%,193
M-趋势玩家,0,0,0,0%,0%,0%,0%,0%,0%,194
M-短线捉大妖,0,0,0,0%,0%,0%,0%,0%,0%,195
M-赵老哥实盘-FL,0,0,0,0%,0%,0%,0%,0%,0%,196
JQ2-财经老张,0,0,0,0%,0%,0%,0%,0%,0%,197
有点测试资源,0,0,0,0%,0%,0%,0%,0%,0%,198
申抖7付费指标开口,49,55,83,9.32%,5.18%,5.56%,4.18%,2.07%,2.54%,199
百度移动搜索,0,0,0,0%,0%,0%,0%,0%,0%,200
百度PC搜索,0,0,0,0%,0%,0%,0%,0%,0%,201
M-题材大王,0,0,0,0%,0%,0%,0%,0%,0%,202
M-量价舵手,0,0,0,0%,0%,0%,0%,0%,0%,203
M-趋势论财,0,0,0,0%,0%,0%,0%,0%,0%,204
M-势如黑马,0,0,0,0%,0%,0%,0%,0%,0%,205
M-主升浪王,0,0,0,0%,0%,0%,0%,0%,0%,206
有点-投机天王,0,0,0,0%,0%,0%,0%,0%,0%,208
ZSL-游资操盘手,0,0,0,0%,0%,0%,0%,0%,0%,209
JQ6-短线波王,0,0,0,0%,0%,0%,0%,0%,0%,211
有点抖音电话,0,0,0,0%,0%,0%,0%,0%,0%,212
M-财经涨本事,0,0,0,0%,0%,0%,0%,0%,0%,213
上海创银,0,0,0,0%,0%,0%,0%,0%,0%,214
申抖17财经胡一叨,2,7,9,1.47%,1.34%,1.39%,0.74%,0.96%,0.46%,215
百度（微信）,0,0,0,0%,0%,0%,0%,0%,0%,216
兰君子-邱浩财经,0,0,0,0%,0%,0%,0%,0%,0%,217
兰君子-老马擒牛,0,0,0,0%,0%,0%,0%,0%,0%,218
兰君子-狙击龙虎榜,0,0,0,0%,0%,0%,0%,0%,0%,219
兰君子-大A问财,0,0,0,0%,0%,0%,0%,0%,0%,220
兰君子-打板司令,0,0,0,0%,0%,0%,0%,0%,0%,221
兰君子-首板跟庄666,0,0,0,0%,0%,0%,0%,0%,0%,222
兰君子-刘哥打板,0,0,0,0%,0%,0%,0%,0%,0%,223
兰君子-大A先锋团,0,0,0,0%,0%,0%,0%,0%,0%,224
兰君子-超短挖掘,0,0,0,0%,0%,0%,0%,0%,0%,225
兰君子-投机乔帮主,0,0,0,0%,0%,0%,0%,0%,0%,226
兰君子-投机战神,0,0,0,0%,0%,0%,0%,0%,0%,227
兰君子-上塘路心法,0,0,0,0%,0%,0%,0%,0%,0%,228
兰君子-股市破局者LV,0,0,0,0%,0%,0%,0%,0%,0%,229
兰君子-朱朱说市,0,0,0,0%,0%,0%,0%,0%,0%,230
兰君子-论市道股,0,0,0,0%,0%,0%,0%,0%,0%,231
申抖16-野马笔记,0,0,0,0%,0%,0%,0%,0%,0%,233
百度指标16,0,0,2,0%,0%,6.45%,0%,0%,6.45%,235
百度指标17,0,0,0,0%,0%,0%,0%,0%,0%,236
百度指标18,1,5,1,1.41%,6.41%,2.04%,1.41%,5.13%,0%,237
百度指标19,12,9,6,4.98%,6.52%,6.38%,2.07%,3.62%,2.13%,238
东方说市小铃铛,16,65,0,4.95%,4.01%,0%,3.1%,1.36%,0%,239
