name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
头条,0,,,0%,,,0%,,,10032
老转,0,,,0%,,,0%,,,10033
舆情公众号,0,,,0%,,,0%,,,10034
前端直播,0,,,0%,,,0%,,,10035
UC,1,,,8.33%,,,8.33%,,,10075
小米,0,,,0%,,,0%,,,10084
喜马拉雅,0,,,0%,,,0%,,,10098
vivo,95,,,9.33%,,,4.22%,,,10115
OPPO,52,,,8.75%,,,5.05%,,,10121
华为,9,,,2.74%,,,1.22%,,,10125
封号频繁提醒,0,,,0%,,,0%,,,487
华为-信息流1,1,,,0.75%,,,0%,,,564
华为-信息流2,7,,,4.22%,,,2.41%,,,587
华为信息流3,1,,,3.45%,,,0%,,,629
华为信息流4-付费,0,,,0%,,,0%,,,630
华为信息流4,0,,,0%,,,0%,,,684
华为账户4-免费票,0,,,0%,,,0%,,,698
oppo-信息流1,10,,,10%,,,7%,,,515
oppo-信息流2,33,,,7.93%,,,4.09%,,,533
oppo-信息流3,7,,,16.67%,,,11.9%,,,560
oppo-免费票4,2,,,5.56%,,,2.78%,,,586
oppo-免费票5,0,,,0%,,,0%,,,616
oppo-免费票6,0,,,0%,,,0%,,,617
vivo-信息流,27,,,7.8%,,,5.78%,,,470
vivo-信息流2,0,,,0%,,,0%,,,499
vivo-信息流3,49,,,11.89%,,,3.4%,,,504
vivo-信息流4,14,,,11.11%,,,5.56%,,,534
vivo-免费票5,0,,,0%,,,0%,,,579
vivo-免费票6,0,,,0%,,,0%,,,580
vivo-免费票7,0,,,0%,,,0%,,,609
vivo-免费票8,0,,,0%,,,0%,,,610
vivo-指标9,5,,,5.75%,,,2.3%,,,686
vivo-免费票10,0,,,0%,,,0%,,,687
喜马拉雅-重阳看市,0,,,0%,,,0%,,,421
喜马拉雅,0,,,0%,,,0%,,,423
小米-OTT-指标,0,,,0%,,,0%,,,318
小米-OTT-免费票,0,,,0%,,,0%,,,319
小米-信息流-指标-图片,0,,,0%,,,0%,,,320
小米-信息流-指标-视频,0,,,0%,,,0%,,,321
小米-信息流-免费票-图片,0,,,0%,,,0%,,,322
小米-信息流-免费票-视频,0,,,0%,,,0%,,,323
UC-双出价,0,,,0%,,,0%,,,281
UC-1表单,0,,,0%,,,0%,,,293
uc-指标01,0,,,0%,,,0%,,,612
uc-指标02,1,,,10%,,,10%,,,613
uc-免费票03,0,,,0%,,,0%,,,614
uc-免费票04,0,,,0%,,,0%,,,615
前端直播,0,,,0%,,,0%,,,153
舆情公众号,0,,,0%,,,0%,,,81
老转,0,,,0%,,,0%,,,7
头条,0,,,0%,,,0%,,,4
重阳-微博,0,,,0%,,,0%,,,33
文字-头条微博,0,,,0%,,,0%,,,113
重阳-微博2,1,,,14.29%,,,14.29%,,,526
重阳-微博3,0,,,0%,,,0%,,,527
重阳-微博4,0,,,0%,,,0%,,,528
重阳-微博5,0,,,0%,,,0%,,,541
360-信息流,41,,,7.22%,,,4.58%,,,10101
360-搜索,14,,,3.71%,,,2.12%,,,10102
360-展示,339,,,5.21%,,,2.4%,,,10120
360,0,,,0%,,,0%,,,1
360-屏保,129,,,4.18%,,,2.3%,,,10099
360-弹窗,60,,,5.98%,,,2.59%,,,10100
360-橱窗,150,,,6.21%,,,2.44%,,,10108
360-混投07,1,,,2.56%,,,2.56%,,,452
360-混投08,149,,,6.27%,,,2.44%,,,469
360-弹窗-免费票,52,,,6.57%,,,3.03%,,,358
360-弹窗-免费票3,8,,,3.77%,,,0.94%,,,386
360-屏保-免费票,0,,,0%,,,0%,,,359
360-屏保-免费票6,25,,,4.27%,,,2.91%,,,413
360-展示广告-06,0,,,0%,,,0%,,,433
360-前置-画报,104,,,4.16%,,,2.16%,,,517
360-混投12,0,,,0%,,,0%,,,585
360-前置-小程序,0,,,0%,,,0%,,,588
360-搜索-诊股05,0,,,0%,,,0%,,,411
360-搜索-软件09,8,,,3.48%,,,2.61%,,,477
